benchmark,run,result
ray-sphere-intersection,baseline,142
ray-sphere-intersection,myopt,494
birthday,baseline,484
birthday,myopt,2555
conjugate-gradient,baseline,1999
conjugate-gradient,myopt,12532
n_root,baseline,733
n_root,myopt,3731
newton,baseline,217
newton,myopt,1006
euler,baseline,1908
euler,myopt,11606
riemann,baseline,298
riemann,myopt,1686
mandelbrot,baseline,2720947
mandelbrot,myopt,23263170
logistic,baseline,1110
logistic,myopt,5454
norm,baseline,505
norm,myopt,2736
cordic,baseline,517
cordic,myopt,24861
exponentiation-by-squaring,baseline,187
exponentiation-by-squaring,myopt,1659
pow,baseline,36
pow,myopt,204
ray-bbox-intersection,baseline,33
ray-bbox-intersection,myopt,805
sqrt,baseline,322
sqrt,myopt,3418
quadratic,baseline,785
quadratic,myopt,5701
montgomery,baseline,17
montgomery,myopt,89
primes-between,baseline,574100
primes-between,myopt,5208998
mod_pow,baseline,243
mod_pow,myopt,1706
orders,baseline,5352
orders,myopt,22114
sum-check,baseline,5018
sum-check,myopt,20066
palindrome,baseline,298
palindrome,myopt,2178
rot13,baseline,8
rot13,myopt,34
totient,baseline,253
totient,myopt,1863
fib_recursive,baseline,2693
fib_recursive,myopt,24537
relative-primes,baseline,1923
relative-primes,myopt,21587
hanoi,baseline,99
hanoi,myopt,704
is-decreasing,baseline,127
is-decreasing,myopt,828
check-primes,baseline,8468
check-primes,myopt,75286
sum-sq-diff,baseline,3038
sum-sq-diff,myopt,14655
fitsinside,baseline,10
fitsinside,myopt,50
hamming,baseline,117
hamming,myopt,512
fact,baseline,229
fact,myopt,1192
loopfact,baseline,116
loopfact,myopt,610
recfact,baseline,104
recfact,myopt,645
geometric-sum,baseline,35
geometric-sum,myopt,258
factors,baseline,72
factors,myopt,433
perfect,baseline,232
perfect,myopt,1988
binpow,baseline,105
binpow,myopt,730
bitshift,baseline,167
bitshift,myopt,1307
digital-root,baseline,247
digital-root,myopt,1040
up-arrow,baseline,252
up-arrow,myopt,2003
mccarthy91,baseline,1385
mccarthy91,myopt,6237
sum-divisors,baseline,159
sum-divisors,myopt,1060
permutation,baseline,130
permutation,myopt,667
combination,baseline,178
combination,myopt,926
ackermann,baseline,1464231
ackermann,myopt,12237079
pythagorean_triple,baseline,61518
pythagorean_triple,myopt,370379
gebmm,baseline,3011
gebmm,myopt,16916
euclid,baseline,563
euclid,myopt,2493
bbs,baseline,137
bbs,myopt,610
binary-fmt,baseline,100
binary-fmt,myopt,472
lcm,baseline,2326
lcm,myopt,9747
gcd,baseline,46
gcd,myopt,368
catalan,baseline,659378
catalan,myopt,5373445
armstrong,baseline,133
armstrong,myopt,717
pascals-row,baseline,146
pascals-row,myopt,695
collatz,baseline,169
collatz,myopt,986
sum-bits,baseline,73
sum-bits,myopt,296
sqrt_bin_search,baseline,744
sqrt_bin_search,myopt,7122
rectangles-area-difference,baseline,14
rectangles-area-difference,myopt,79
mod_inv,baseline,558
mod_inv,myopt,4451
karatsuba,baseline,1548
karatsuba,myopt,10152
reverse,baseline,46
reverse,myopt,307
fizz-buzz,baseline,3652
fizz-buzz,myopt,44378
bitwise-ops,baseline,1690
bitwise-ops,myopt,9604
sum-digits,baseline,219
sum-digits,myopt,990
dead-branch,baseline,1196
dead-branch,myopt,6696
quickselect,baseline,279
quickselect,myopt,2009
1dconv,baseline,391
1dconv,myopt,3316
sieve,baseline,3482
sieve,myopt,21159
bubblesort,baseline,253
bubblesort,myopt,1909
primitive-root,baseline,11029
primitive-root,myopt,73292
adler32,baseline,6851
adler32,myopt,28322
fnv1-hash,baseline,1768440
fnv1-hash,myopt,10372829
adj2csr,baseline,56629
adj2csr,myopt,338608
char-poly,baseline,383
char-poly,myopt,1412
csrmv,baseline,121202
csrmv,myopt,782055
dot-product,baseline,88
dot-product,myopt,281
shufflesort,baseline,36564
shufflesort,myopt,235067
major-elm,baseline,47
major-elm,myopt,339
cordic,baseline,1062
cordic,myopt,10591
max-subarray,baseline,193
max-subarray,myopt,1308
mat-mul,baseline,1990407
mat-mul,myopt,12474926
fib,baseline,121
fib,myopt,557
vsmul,baseline,86036
vsmul,myopt,323707
quicksort-hoare,baseline,27333
quicksort-hoare,myopt,178590
2dconvol,baseline,21709
2dconvol,myopt,154816
quicksort,baseline,264
quicksort,myopt,1625
two-sum,baseline,98
two-sum,myopt,727
eight-queens,baseline,1006454
eight-queens,myopt,9350981
sorting-network-five,baseline,284
sorting-network-five,myopt,1797
connected-components,baseline,1978
connected-components,myopt,19099
binary-search,baseline,78
binary-search,myopt,665
cholesky,baseline,3761
cholesky,myopt,32401
mat-inv,baseline,1044
mat-inv,myopt,3844
gol,baseline,1425
gol,myopt,8567
